City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Lompoc,US,34.6391,-120.4579,68.85,86,0,10.36,mist
208,Iquitos,PE,-3.7481,-73.2472,75.24,94,75,3.44,broken clouds
209,Vanimo,PG,-2.6741,141.3028,85.8,65,92,6.64,overcast clouds
210,Kavieng,PG,-2.5744,150.7967,83.97,72,94,16.73,light rain
211,Baghdad,IQ,33.3406,44.4009,82.31,32,0,4.61,dust
212,Smithers,CA,54.7804,-127.1743,75.52,46,20,5.75,few clouds
213,Nanortalik,GL,60.1432,-45.2371,39.74,95,100,0.2,overcast clouds
214,Akureyri,IS,65.6835,-18.0878,31.93,100,0,3.44,clear sky
215,Calama,CL,-22.4667,-68.9333,55.89,9,100,4.61,overcast clouds
216,Noumea,NC,-22.2763,166.4572,80.58,99,38,11.92,scattered clouds
217,Sosnovo-Ozerskoye,RU,52.5249,111.5418,73.06,41,85,8.05,overcast clouds
218,Dingzhou,CN,38.5131,114.9956,78.91,60,60,12.17,broken clouds
219,Camacupa,AO,-12.0167,17.4833,48.4,62,3,4.68,clear sky
220,Tuatapere,NZ,-46.1333,167.6833,47.23,78,100,7.0,overcast clouds
221,Castro,BR,-24.7911,-50.0119,51.44,91,96,7.52,overcast clouds
222,Afsin,TR,38.2477,36.914,53.24,73,2,3.06,clear sky
223,Praya,CV,14.9215,-23.5087,73.94,78,75,20.71,broken clouds
224,Muros,ES,42.7762,-9.0603,47.08,94,2,6.33,clear sky
225,Taoudenni,ML,22.6783,-3.9836,96.55,10,0,14.03,clear sky
226,Alofi,NU,-19.0595,-169.9187,80.49,78,4,11.5,clear sky
227,Kapit,MY,2.0167,112.9333,83.16,74,100,0.78,overcast clouds
228,Dukat,RU,62.55,155.55,75.02,44,21,9.57,few clouds
229,Hutchinson,US,38.0608,-97.9298,67.95,54,0,3.44,clear sky
230,High Rock,BS,26.6208,-78.2833,80.62,72,18,10.0,few clouds
231,Naze,JP,28.3667,129.4833,85.12,83,77,12.88,broken clouds
232,Rocha,UY,-34.4833,-54.3333,44.42,79,100,4.47,overcast clouds
233,Hofn,IS,64.2539,-15.2082,46.4,79,100,8.79,overcast clouds
234,Itaqui,BR,-29.1253,-56.5531,50.81,88,100,7.07,light rain
235,Teuchitlan,MX,20.6833,-103.8667,71.13,64,100,3.31,overcast clouds
236,Arlit,NE,18.7369,7.3853,91.76,26,98,8.14,overcast clouds
237,Rayon,MX,19.1444,-99.5836,58.87,90,100,4.68,overcast clouds
238,Camacha,PT,33.0833,-16.3333,63.82,63,75,12.66,broken clouds
239,Valparaiso,CL,-33.0393,-71.6273,53.47,80,0,4.61,clear sky
240,Campoverde,PE,-8.4753,-74.8058,74.89,73,16,1.59,few clouds
241,Khatanga,RU,71.9667,102.5,48.51,47,8,14.74,clear sky
242,Ahipara,NZ,-35.1667,173.1667,58.86,59,76,4.03,broken clouds
243,Vermillion,US,42.7794,-96.9292,69.96,54,0,4.79,clear sky
244,Axim,GH,4.8699,-2.2405,75.36,92,100,3.67,overcast clouds
245,Port Hedland,AU,-20.3167,118.5667,75.25,29,0,23.02,clear sky
246,Sambava,MG,-14.2667,50.1667,69.06,78,100,12.37,light rain
247,Putina,PE,-15.4667,-69.4333,43.0,67,3,7.87,clear sky
248,East London,ZA,-33.0153,27.9116,56.25,50,4,4.5,clear sky
249,Ribeira Grande,PT,38.5167,-28.7,66.16,77,95,10.6,overcast clouds
250,Dongsheng,CN,39.8161,109.9776,67.62,55,100,5.19,overcast clouds
251,Elizabethtown,US,37.694,-85.8591,77.09,81,40,6.91,scattered clouds
252,Rincon,US,32.296,-81.2354,79.86,61,0,5.75,clear sky
253,Roanoke Rapids,US,36.4615,-77.6542,77.34,78,0,4.61,clear sky
254,Lakes Entrance,AU,-37.8811,147.981,54.16,69,27,13.22,scattered clouds
255,Leningradskiy,RU,69.3833,178.4167,35.22,90,100,3.42,light snow
256,Ust-Karsk,RU,52.7011,118.8077,77.99,49,24,4.18,few clouds
257,Slave Lake,CA,55.2834,-114.769,66.18,59,75,4.61,broken clouds
